Date,chanNum,Depth,Screws
20210220,83,63.75,0
20210220,84,31.25,0
20210220,85,89,1.75
20210220,86,77,0
20210220,87,77.25,0
20210220,88,101,8
20210220,89,77.75,0
20210220,90,76,0
20210220,91,72,0
20210220,92,66,0
20210220,93,54,0
20210220,94,61.5,0.5
20210220,95,34,0
20210220,96,59,0
20210220,97,83.75,0
20210220,98,74.75,0
20210220,99,78.75,0
20210220,100,81.5,0
20210220,101,76,0
20210220,102,74,0
20210220,103,70.5,0
20210220,104,61,0
20210220,105,58.75,0
20210220,106,31.5,0
20210220,107,56,0
20210220,108,70,0
20210220,109,70,0
20210220,110,79,0
20210220,111,68,0
20210220,112,78.25,0
20210220,113,71,0
20210220,114,65.75,0
20210220,115,72.5,0
20210220,116,29,0
20210220,117,50.5,0
20210220,118,38,0
20210220,119,63,0
20210220,120,65,0
20210220,121,69.5,0
20210220,122,69,0
20210220,123,65,0
20210220,124,55,0
20210220,125,65,0
20210220,126,28,0
20210220,127,72,0
20210220,128,65,0
20210220,129,63.5,0
20210220,130,69,0
20210220,131,67,0
20210220,132,73,0
20210220,133,59.5,0
20210220,134,104,0
20210220,135,29,0
20210220,136,61,0.5
20210220,137,65,0
20210220,138,62,0
20210220,139,58.25,0
20210220,140,64,0
20210220,141,59,0
20210220,142,60.25,0
20210220,143,58,0
20210220,144,28,0
20210220,145,0,0
